model_name,model,dataset,source,lang,n,acc_zeroshot_pct,acc_baseline_sft_pct,acc_augmented_sft_pct,delta_aug_vs_baseline_pct,delta_aug_vs_zeroshot_pct
Gemma3-4B,gemma4,taxi1500,sft,ru,111,47.7,76.6,76.6,0.0,28.9
Gemma3-4B,gemma4,taxi1500,sft,sw,111,52.3,74.8,79.3,4.5,27.0
Gemma3-4B,gemma4,taxi1500,sft,vi,111,44.1,80.2,79.3,-0.9,35.2
Gemma3-4B,gemma4,taxi1500,sft,zh,111,40.5,81.1,75.7,-5.4,35.2
Gemma3-12B,gemma12,sib200,macro,en,204,87.7,92.6,94.6,2.0,6.9
Gemma3-12B,gemma12,sib200,macro,ar,204,88.2,93.1,93.1,0.0,4.9
Gemma3-12B,gemma12,sib200,macro,de,204,89.7,93.6,94.6,1.0,4.9
Gemma3-12B,gemma12,sib200,macro,ru,204,88.7,94.1,93.1,-1.0,4.4
Gemma3-12B,gemma12,sib200,macro,sw,204,85.3,89.7,92.2,2.5,6.9
Gemma3-12B,gemma12,sib200,macro,vi,204,89.2,92.2,91.2,-1.0,2.0
Gemma3-12B,gemma12,sib200,macro,zh,204,85.8,92.2,93.1,0.9,7.3
Gemma3-12B,gemma12,sib200,dgcf,en,204,87.7,92.6,92.2,-0.4,4.5
Gemma3-12B,gemma12,sib200,dgcf,ar,204,88.2,93.1,92.2,-0.9,4.0
Gemma3-12B,gemma12,sib200,dgcf,de,204,89.7,93.6,93.6,0.0,3.9
Gemma3-12B,gemma12,sib200,dgcf,ru,204,88.7,94.1,91.2,-2.9,2.5
Gemma3-12B,gemma12,sib200,dgcf,sw,204,85.3,89.7,91.2,1.5,5.9
Gemma3-12B,gemma12,sib200,dgcf,vi,204,89.2,92.2,90.7,-1.5,1.5
Gemma3-12B,gemma12,sib200,dgcf,zh,204,85.8,92.2,91.7,-0.5,5.9
Gemma3-12B,gemma12,sib200,sft,en,204,87.7,92.6,92.6,0.0,4.9
Gemma3-12B,gemma12,sib200,sft,ar,204,88.2,93.1,93.1,0.0,4.9
Gemma3-12B,gemma12,sib200,sft,de,204,89.7,93.6,93.6,0.0,3.9
Gemma3-12B,gemma12,sib200,sft,ru,204,88.7,94.1,93.6,-0.5,4.9
Gemma3-12B,gemma12,sib200,sft,sw,204,85.3,89.7,92.6,2.9,7.3
Gemma3-12B,gemma12,sib200,sft,vi,204,89.2,92.2,93.1,0.9,3.9
Gemma3-12B,gemma12,sib200,sft,zh,204,85.8,92.2,92.6,0.4,6.8
Gemma3-12B,gemma12,taxi1500,macro,en,111,50.5,79.3,78.4,-0.9,27.9
Gemma3-12B,gemma12,taxi1500,macro,ar,111,59.5,76.6,77.5,0.9,18.0
Gemma3-12B,gemma12,taxi1500,macro,de,111,51.4,75.7,73.9,-1.8,22.5
Gemma3-12B,gemma12,taxi1500,macro,ru,111,44.1,74.8,78.4,3.6,34.3
Gemma3-12B,gemma12,taxi1500,macro,sw,111,48.6,78.4,77.5,-0.9,28.9
Gemma3-12B,gemma12,taxi1500,macro,vi,111,46.8,76.6,79.3,2.7,32.5
Gemma3-12B,gemma12,taxi1500,macro,zh,111,42.3,76.6,75.7,-0.9,33.4
Gemma3-12B,gemma12,taxi1500,dgcf,en,111,50.5,79.3,75.7,-3.6,25.2
Gemma3-12B,gemma12,taxi1500,dgcf,ar,111,59.5,76.6,76.6,0.0,17.1
Gemma3-12B,gemma12,taxi1500,dgcf,de,111,51.4,75.7,73.0,-2.7,21.6
Gemma3-12B,gemma12,taxi1500,dgcf,ru,111,44.1,74.8,74.8,0.0,30.7
Gemma3-12B,gemma12,taxi1500,dgcf,sw,111,48.6,78.4,74.8,-3.6,26.2
Gemma3-12B,gemma12,taxi1500,dgcf,vi,111,46.8,76.6,76.6,0.0,29.8
Gemma3-12B,gemma12,taxi1500,dgcf,zh,111,42.3,76.6,74.8,-1.8,32.5
Gemma3-12B,gemma12,taxi1500,sft,en,111,50.5,79.3,78.4,-0.9,27.9
Gemma3-12B,gemma12,taxi1500,sft,ar,111,59.5,76.6,79.3,2.7,19.8
Gemma3-12B,gemma12,taxi1500,sft,de,111,51.4,75.7,71.2,-4.5,19.8
Gemma3-12B,gemma12,taxi1500,sft,ru,111,44.1,74.8,73.9,-0.9,29.8
Gemma3-12B,gemma12,taxi1500,sft,sw,111,48.6,78.4,78.4,0.0,29.8
Gemma3-12B,gemma12,taxi1500,sft,vi,111,46.8,76.6,80.2,3.6,33.4
Gemma3-12B,gemma12,taxi1500,sft,zh,111,42.3,76.6,74.8,-1.8,32.5
